client_id,date_of_birth,employment_status,country
253,1990-01-01,employed,CA
254,1979-06-28,unemployed,CA
255,1955-12-31,employed,USA
256,1981-04-12,employed,USA
257,1987-06-03,employed,CA
258,1964-08-24,employed,CA
259,1955-09-24,unemployed,CA
260,1958-05-31,employed,CA
261,1969-08-10,employed,UK
262,1981-04-06,unemployed,CA
263,1971-03-31,employed,CA
264,1972-11-17,employed,UK
265,1969-04-09,employed,UK
266,1964-12-30,employed,CA
267,1993-11-28,unemployed,USA
268,1957-08-02,unemployed,UK
269,1999-08-04,employed,CA
270,2002-09-09,unemployed,USA
271,1966-05-15,unemployed,USA
272,1970-08-17,employed,USA
273,2005-02-22,employed,USA
274,1975-09-08,employed,CA
275,1988-11-14,unemployed,UK
276,1989-01-18,employed,USA
277,1983-03-04,unemployed,USA
278,1997-02-20,employed,UK
279,1967-07-12,employed,CA
280,1979-09-06,unemployed,USA
281,1997-01-13,unemployed,USA
282,1978-11-09,employed,USA
283,1976-08-04,employed,CA
284,1971-01-27,unemployed,USA
285,1965-04-27,employed,UK
286,1997-12-22,employed,USA
287,1991-05-06,employed,CA
288,1955-11-04,employed,UK
289,1956-03-12,employed,UK
290,1984-01-08,employed,UK
291,1992-07-28,employed,UK
292,1970-08-14,unemployed,UK
293,1959-06-03,unemployed,CA
294,1961-06-09,unemployed,USA
295,1981-05-15,unemployed,CA
296,1963-05-02,employed,CA
297,2004-08-25,employed,UK
298,1997-08-03,unemployed,UK
299,2004-08-16,unemployed,CA
300,1965-03-02,employed,USA
